排名,分拣中心,等级,综合分,枢纽度,流量度,影响力,总出现次数,作为起点,作为中转,作为终点,起点占比,中转占比,终点占比,平均深度,最小深度,最大深度,上游连接数,下游连接数,总连接数,上游集中度,最大上游站,有效下游方向数,最大下游站,日均流入货量,日均流出货量,日均经过货量,OD覆盖数,OD覆盖率,现有设备,格口数量,产能上限,角色倾向
26,A61分拣,A,50.4,40.4,83.6,45.0,432,89,252,91,20.6%,58.3%,21.1%,1.71,0,5,11,23,34,18.7%,A98分拣,16,A72分拣,4808.0,116104.0,201709.0,432,5.50%,分拣机1,137,100000,混合型
27,A74分拣,A,50.2,23.5,94.0,44.4,232,85,56,91,36.6%,24.1%,39.2%,1.09,0,4,22,18,40,12.9%,A55分拣,17,A56分拣,174904.0,170845.0,397746.0,232,2.96%,分拣机2,408,200000,混合型
28,A13分拣,A,49.8,25.9,87.5,49.9,274,89,94,91,32.5%,34.3%,33.2%,1.23,0,4,25,6,31,15.1%,A15分拣,6,A46分拣,192772.0,26677.0,260122.0,274,3.49%,分拣机1,326,100000,混合型
29,A73分拣,A,49.5,37.4,83.3,44.7,385,84,210,91,21.8%,54.5%,23.6%,1.42,0,4,29,5,34,28.9%,A46分拣,5,A15分拣,143240.0,24864.0,198373.0,385,4.91%,分拣机1,469,100000,混合型
30,A28分拣,A,49.0,28.2,87.2,46.3,296,85,120,91,28.7%,40.5%,30.7%,1.31,0,4,26,3,29,23.7%,A46分拣,3,A77分拣,183101.0,49058.0,255308.0,296,3.77%,分拣机2,476,200000,混合型
31,A82分拣,A,48.3,36.5,75.3,48.2,338,85,178,75,25.1%,52.7%,22.2%,1.13,0,5,11,28,39,51.4%,A101分拣,26,A61分拣,111.0,61376.0,117091.0,338,4.31%,分拣机1,224,100000,混合型
32,A98分拣,A,48.0,26.9,75.5,50.5,245,87,67,91,35.5%,27.3%,37.1%,1.39,0,4,23,24,47,27.8%,A19分拣,9,A61分拣,8249.0,105510.0,118970.0,245,3.12%,分拣机7,178,60000,混合型
33,A101分拣,A,47.9,25.0,80.9,49.4,262,85,86,91,32.4%,32.8%,34.7%,1.32,0,4,22,9,31,28.2%,A46分拣,4,A82分拣,134824.0,25983.0,169478.0,262,3.34%,分拣机2,380,200000,混合型
34,A6分拣,A,47.4,44.6,73.7,40.3,526,85,351,90,16.2%,66.7%,17.1%,1.13,0,4,5,20,25,37.6%,A5分拣,20,A24分拣,1290.0,77924.0,105659.0,526,6.70%,分拣机2,576,200000,枢纽型
35,A47分拣,A,47.0,23.8,80.3,45.7,246,89,66,91,36.2%,26.8%,37.0%,1.31,0,4,17,19,36,38.2%,A15分拣,10,A46分拣,112970.0,38570.0,162288.0,246,3.13%,分拣机1,367,100000,混合型
