等级,排名,分拣中心,综合分,枢纽度,流量度,出现次数,起点,中转,终点,中转占比,平均深度,上游,下游,日均经过货量,OD覆盖数,现有设备,格口,产能,角色倾向
B,42,A84分拣,44.6,21.8,76.6,257,83,83,91,32.3%,1.39,19,1,127665.0,257,分拣机1,396,100000,混合型
B,43,A9分拣,43.1,30.2,70.2,352,88,173,91,49.1%,1.21,8,10,83819.0,352,分拣机4,80,30000,混合型
B,44,A4分拣,41.9,13.8,89.2,179,88,0,91,0.0%,1.08,18,21,291872.0,179,分拣机1,348,100000,末端型
B,45,A49分拣,40.7,16.1,77.8,190,83,16,91,8.4%,1.05,21,15,137586.0,190,分拣机2,370,200000,混合型
B,46,A35分拣,40.3,14.2,81.8,174,83,0,91,0.0%,1.09,21,20,178994.0,174,分拣机1,555,100000,末端型
B,47,A14分拣,40.2,14.4,80.6,177,84,2,91,1.1%,1.11,16,24,165850.0,177,分拣机1,416,100000,末端型
B,48,A37分拣,40.0,12.6,85.0,175,84,0,91,0.0%,1.07,17,18,220802.0,175,分拣机2,321,200000,末端型
B,49,A27分拣,39.8,13.3,82.2,182,84,7,91,3.8%,1.06,18,14,184356.0,182,分拣机1,461,100000,混合型
B,50,A31分拣,39.4,21.7,59.6,273,86,96,91,35.2%,1.19,8,6,42071.0,273,分拣机4,97,0,混合型
B,51,A92分拣,38.4,12.3,79.6,182,88,3,91,1.6%,1.1,18,13,155478.0,182,分拣机1,367,100000,混合型
B,52,A66分拣,38.2,10.3,84.6,174,83,0,91,0.0%,1.2,16,10,214795.0,174,分拣机1,187,100000,末端型
B,53,A3分拣,38.1,13.2,76.0,176,85,0,91,0.0%,1.12,17,20,122591.0,176,分拣机1,330,100000,末端型
B,54,A36分拣,38.0,9.1,86.4,135,86,11,38,8.1%,0.81,4,11,242040.0,135,分拣机7,308,60000,始发型
B,55,A55分拣,37.3,10.1,81.8,177,86,0,91,0.0%,1.18,17,8,179587.0,177,分拣机1,222,100000,末端型
B,56,A57分拣,36.4,10.6,76.4,194,90,13,91,6.7%,1.26,9,8,126338.0,194,分拣机1,216,100000,混合型
B,57,A88分拣,36.0,12.1,70.3,189,85,13,91,6.9%,1.15,14,9,84314.0,189,分拣机4,95,30000,混合型
B,58,A93分拣,35.9,11.2,73.1,179,88,0,91,0.0%,1.2,13,16,101266.0,179,分拣机4,71,30000,末端型
B,59,A75分拣,35.3,10.1,73.8,177,86,0,91,0.0%,1.31,15,10,106004.0,177,分拣机4,96,25000,末端型
B,60,A34分拣,35.3,11.1,70.5,177,86,0,91,0.0%,1.19,13,16,85861.0,177,分拣机4,95,30000,末端型
B,61,A48分拣,34.9,11.1,69.1,190,83,16,91,8.4%,1.25,9,8,78253.0,190,分拣机4,85,30000,混合型
B,62,A43分拣,34.3,8.2,75.1,176,85,0,91,0.0%,1.19,10,8,116033.0,176,分拣机1,299,100000,末端型
